,feature_value,id,feature
568,-18.0812523250121,620_1,apwaveform_first_AP_voltage_stim_60
77,-17.058066953770954,121_1,apwaveform_first_AP_voltage_stim_100
568,-17.91791779603338,620_1,apwaveform_first_AP_voltage_stim_100
121,-11.608124633029568,176_1,apwaveform_first_AP_voltage_stim_140
172,-10.587501000924878,216_2,apwaveform_first_AP_voltage_stim_140
580,-14.792916348485049,632_1,apwaveform_first_AP_voltage_stim_140
121,-11.611874782039916,176_1,apwaveform_first_AP_voltage_stim_180
172,-4.220624547725066,216_2,apwaveform_first_AP_voltage_stim_180
197,-18.339997098122808,238_1,apwaveform_first_AP_voltage_stim_180
336,-18.356429573154507,380_1,apwaveform_first_AP_voltage_stim_180
341,-18.339997098122808,386_1,apwaveform_first_AP_voltage_stim_180
568,-18.63375105796548,620_1,apwaveform_first_AP_voltage_stim_180
580,-14.602499028972108,632_1,apwaveform_first_AP_voltage_stim_180
51,-16.231249900593653,103_1,apwaveform_first_AP_voltage_stim_220
121,-8.463751960942611,176_1,apwaveform_first_AP_voltage_stim_220
197,-15.24874998930038,238_1,apwaveform_first_AP_voltage_stim_220
336,-14.352498435377845,380_1,apwaveform_first_AP_voltage_stim_220
341,-15.24874998930038,386_1,apwaveform_first_AP_voltage_stim_220
388,-19.551249150895305,435_1,apwaveform_first_AP_voltage_stim_220
469,-16.301250014835926,518_1,apwaveform_first_AP_voltage_stim_220
568,-18.548749776050126,620_1,apwaveform_first_AP_voltage_stim_220
36,-17.863750387328253,88_1,apwaveform_second_AP_voltage_stim_140
91,-19.532750840116783,127_1,apwaveform_second_AP_voltage_stim_140
92,-19.532750840116783,128_1,apwaveform_second_AP_voltage_stim_140
93,-19.532750840116783,129_1,apwaveform_second_AP_voltage_stim_140
121,-12.582499505525892,176_1,apwaveform_second_AP_voltage_stim_140
51,-19.942608618581357,103_1,apwaveform_second_AP_voltage_stim_180
58,-18.74678486184471,109_1,apwaveform_second_AP_voltage_stim_180
91,-17.745171963040814,127_1,apwaveform_second_AP_voltage_stim_180
92,-17.745171963040814,128_1,apwaveform_second_AP_voltage_stim_180
93,-17.745171963040814,129_1,apwaveform_second_AP_voltage_stim_180
121,-7.4216668031713136,176_1,apwaveform_second_AP_voltage_stim_180
469,-19.824998918519785,518_1,apwaveform_second_AP_voltage_stim_180
558,-19.22374915137989,610_1,apwaveform_second_AP_voltage_stim_180
579,-17.93124843319148,631_1,apwaveform_second_AP_voltage_stim_180
51,-15.024605847563874,103_1,apwaveform_second_AP_voltage_stim_220
58,-18.38099950230002,109_1,apwaveform_second_AP_voltage_stim_220
64,-19.78946361198801,113_1,apwaveform_second_AP_voltage_stim_220
91,-16.845257037660193,127_1,apwaveform_second_AP_voltage_stim_220
92,-16.845257037660193,128_1,apwaveform_second_AP_voltage_stim_220
93,-16.845257037660193,129_1,apwaveform_second_AP_voltage_stim_220
121,-2.083522692238622,176_1,apwaveform_second_AP_voltage_stim_220
134,-17.60566863145384,186_1,apwaveform_second_AP_voltage_stim_220
197,-13.528748199375796,238_1,apwaveform_second_AP_voltage_stim_220
245,-19.91791485376448,288_1,apwaveform_second_AP_voltage_stim_220
251,-18.19624923854331,295_1,apwaveform_second_AP_voltage_stim_220
257,-1.147083401176197,300_2,apwaveform_second_AP_voltage_stim_220
341,-13.528748199375796,386_1,apwaveform_second_AP_voltage_stim_220
469,-16.05125076086252,518_1,apwaveform_second_AP_voltage_stim_220
521,-19.07125101630741,571_1,apwaveform_second_AP_voltage_stim_220
558,-19.832499254945837,610_1,apwaveform_second_AP_voltage_stim_220
568,-12.153748212324697,620_1,apwaveform_second_AP_voltage_stim_220
579,-18.42624977651633,631_1,apwaveform_second_AP_voltage_stim_220
580,-13.761667294977189,632_1,apwaveform_second_AP_voltage_stim_220
529,-18.723944903338367,579_1,idrest_first_AP_voltage_stim_75
121,-16.482812323076484,176_1,idrest_first_AP_voltage_stim_100
172,-17.059633251152828,216_2,idrest_first_AP_voltage_stim_100
257,-17.894545630845638,300_2,idrest_first_AP_voltage_stim_100
529,-18.52308413819258,579_1,idrest_first_AP_voltage_stim_100
568,-17.744791392907082,620_1,idrest_first_AP_voltage_stim_100
77,-17.552006415750423,121_1,idrest_first_AP_voltage_stim_125
121,-14.204128066802946,176_1,idrest_first_AP_voltage_stim_125
172,-14.634722094321308,216_2,idrest_first_AP_voltage_stim_125
529,-18.51764797713597,579_1,idrest_first_AP_voltage_stim_125
532,-19.90999996871156,583_1,idrest_first_AP_voltage_stim_125
568,-17.268257131773993,620_1,idrest_first_AP_voltage_stim_125
77,-18.77887989919348,121_1,idrest_first_AP_voltage_stim_150
121,-14.593165309928,176_1,idrest_first_AP_voltage_stim_150
172,-7.445615380658959,216_2,idrest_first_AP_voltage_stim_150
336,-18.8567529665108,380_1,idrest_first_AP_voltage_stim_150
388,-19.60600511995196,435_1,idrest_first_AP_voltage_stim_150
440,-15.698993147657102,489_1,idrest_first_AP_voltage_stim_150
525,-19.89053692037254,575_1,idrest_first_AP_voltage_stim_150
529,-17.444711181041672,579_1,idrest_first_AP_voltage_stim_150
534,-19.93043540251674,585_1,idrest_first_AP_voltage_stim_150
568,-17.53040182111576,620_1,idrest_first_AP_voltage_stim_150
579,-19.34722169842675,631_1,idrest_first_AP_voltage_stim_150
121,-13.658333356194682,176_1,idrest_first_AP_voltage_stim_175
172,-5.919984020058648,216_2,idrest_first_AP_voltage_stim_175
257,-7.793750624617766,300_2,idrest_first_AP_voltage_stim_175
336,-16.689583756960076,380_1,idrest_first_AP_voltage_stim_175
415,-17.1281252280713,464_1,idrest_first_AP_voltage_stim_175
456,-17.962010791722104,505_1,idrest_first_AP_voltage_stim_175
525,-18.300694291198383,575_1,idrest_first_AP_voltage_stim_175
529,-17.953439619443483,579_1,idrest_first_AP_voltage_stim_175
532,-19.3575981507471,583_1,idrest_first_AP_voltage_stim_175
534,-18.73527834364231,585_1,idrest_first_AP_voltage_stim_175
568,-17.727757086837034,620_1,idrest_first_AP_voltage_stim_175
571,-19.285685300073247,623_1,idrest_first_AP_voltage_stim_175
